,aceite de palma,0
2021-11-01,6711.0,
2021-12-01,6673.0,
2022-01-01,6946.0,
2022-02-01,7219.0,
2022-03-01,7283.5,
2022-04-01,7915.0,
2022-05-01,8263.333333333334,
2022-06-01,8541.333333333334,
2022-07-01,8869.333333333334,
2022-08-01,8881.0,
2022-09-01,8406.2,
2022-10-01,8237.25,
2022-11-01,7985.2,
2022-12-01,8236.4,
2023-01-01,8449.0,
2023-02-01,8499.0,
2023-03-01,8754.0,
2023-04-01,8839.4,
2023-05-01,8627.4,
2023-06-01,8441.4,
2023-07-01,8231.2,
2023-08-01,8061.8,
2023-09-01,7586.8,
2023-10-01,7121.4,
2023-11-01,6998.6,
2023-12-01,6959.6,
2024-01-01,6625.2,
2024-02-01,6867.2,
2024-03-01,6954.4,
2024-04-01,6919.0,
2024-05-01,7156.75,
2024-06-01,7349.25,
2024-07-01,7203.0,
2024-08-01,7421.0,
2024-09-01,7528.666666666667,
2024-10-31,,7152.9844
2024-11-30,,6951.0635
2024-12-31,,6768.907
2025-01-31,,6611.5454
2025-02-28,,6626.287
2025-03-31,,6514.06
2025-04-30,,6482.062
2025-05-31,,6644.913
2025-06-30,,6763.652
2025-07-31,,6992.59
2025-08-31,,7385.3076
2025-09-30,,7404.576
