,aceite girasol,0
2013-01-01,6660.0,
2013-02-01,6720.333333333333,
2013-03-01,6727.0,
2013-04-01,6621.3,
2013-05-01,6596.4,
2013-06-01,6489.375,
2013-07-01,6448.5,
2013-08-01,6414.5,
2013-09-01,6450.75,
2013-10-01,6417.5,
2013-11-01,6280.125,
2013-12-01,6321.625,
2014-01-01,6282.375,
2014-02-01,6265.875,
2014-03-01,6157.875,
2014-04-01,6350.625,
2014-05-01,6263.5,
2014-06-01,6216.25,
2014-07-01,6264.625,
2014-08-01,6236.375,
2014-09-01,6257.0,
2014-10-01,6333.375,
2014-11-01,6389.5,
2014-12-01,6312.125,
2015-01-01,6205.0,
2015-02-01,6254.5,
2015-03-01,6361.875,
2015-04-01,6496.75,
2015-05-01,6551.75,
2015-06-01,6504.75,
2015-07-01,6579.125,
2015-08-01,6722.75,
2015-09-01,7092.375,
2015-10-01,7227.0,
2015-11-01,7319.375,
2015-12-01,7662.625,
2016-01-01,7769.75,
2016-02-01,7926.375,
2016-03-01,8265.222222222223,
2016-04-01,8128.666666666667,
2016-05-01,8027.0,
2016-06-01,7792.555555555556,
2016-07-01,7818.777777777777,
2016-08-01,7843.666666666667,
2016-09-01,7843.111111111111,
2016-10-01,7820.777777777777,
2016-11-01,7888.666666666667,
2016-12-01,7788.0,
2017-01-01,7998.666666666667,
2017-02-01,8391.555555555555,
2017-03-01,8395.777777777777,
2017-04-01,8363.0,
2017-05-01,8355.111111111111,
2017-06-01,8417.777777777777,
2017-07-01,8340.555555555555,
2017-08-01,8268.222222222223,
2017-09-01,8195.555555555555,
2017-10-01,8051.222222222223,
2017-11-01,8049.888888888889,
2017-12-01,7997.555555555556,
2018-01-01,7897.333333333333,
2018-02-01,7815.5,
2018-03-01,7799.75,
2018-04-01,7916.25,
2018-05-01,8054.875,
2018-06-01,8168.75,
2018-07-01,8118.25,
2018-08-01,8104.375,
2018-09-01,8087.5,
2018-10-01,8055.375,
2018-11-01,8060.375,
2018-12-01,7988.125,
2019-01-01,8024.25,
2019-02-01,7932.0,
2019-03-01,7704.0,
2019-04-01,7697.428571428572,
2019-05-01,7794.571428571428,
2019-06-01,7950.857142857143,
2019-07-01,7891.142857142857,
2019-08-01,8038.375,
2019-09-01,8015.5,
2019-10-01,8025.125,
2019-11-01,8041.375,
2019-12-01,8087.75,
2020-01-01,8088.0,
2020-02-01,8110.75,
2020-03-01,8371.375,
2020-04-01,8604.875,
2020-05-01,8827.75,
2020-06-01,8841.875,
2020-07-01,8836.5,
2020-08-01,8851.875,
2020-09-01,8886.5,
2020-10-01,8846.25,
2020-11-01,8840.875,
2020-12-01,8920.5,
2021-01-01,8992.125,
2021-02-01,9124.625,
2021-03-01,9257.0,
2021-04-01,9673.5,
2021-05-01,10008.625,
2021-06-01,10277.625,
2021-07-01,11679.0,
2021-08-01,12056.0,
2021-09-01,12711.42857142857,
2021-10-01,12250.875,
2021-11-01,13071.285714285714,
2021-12-01,13343.625,
2022-01-01,13750.142857142857,
2022-02-01,13859.5,
2022-03-01,13986.125,
2022-04-01,14131.75,
2022-05-01,14308.75,
2022-06-01,13922.285714285714,
2022-07-01,14163.857142857143,
2022-08-01,14594.0,
2022-09-01,14602.75,
2022-10-01,14653.25,
2022-11-01,14395.75,
2022-12-01,14485.125,
2023-01-01,15380.57142857143,
2023-02-01,15872.42857142857,
2023-03-01,16504.14285714286,
2023-04-01,16190.75,
2023-05-01,16678.0,
2023-06-01,16591.777777777777,
2023-07-01,16880.222222222223,
2023-08-01,16866.333333333332,
2023-09-01,16999.777777777777,
2023-10-01,16193.0,
2023-11-01,16151.5,
2023-12-01,16094.444444444445,
2024-01-01,15837.444444444445,
2024-02-01,15726.555555555555,
2024-03-01,15733.444444444445,
2024-04-01,15712.333333333334,
2024-05-01,15624.3,
2024-06-01,15177.555555555555,
2024-07-01,15051.777777777777,
2024-08-01,15377.4,
2024-09-01,15236.444444444445,
2024-10-31,,15338.949
2024-11-30,,15273.724
2024-12-31,,15208.683
2025-01-31,,15275.905
2025-02-28,,15319.337
2025-03-31,,15298.762
2025-04-30,,15319.043
2025-05-31,,15331.861
2025-06-30,,15312.404
2025-07-31,,15308.661
2025-08-31,,15284.017
2025-09-30,,15274.427
