,"carne de res, cadera",0
2013-01-01,11116.2,
2013-02-01,11096.038461538461,
2013-03-01,11277.703703703704,
2013-04-01,11490.407407407407,
2013-05-01,11525.296296296296,
2013-06-01,11574.037037037036,
2013-07-01,11526.888888888889,
2013-08-01,11523.111111111111,
2013-09-01,11613.333333333334,
2013-10-01,11576.518518518518,
2013-11-01,11567.74074074074,
2013-12-01,11626.925925925925,
2014-01-01,11672.592592592593,
2014-02-01,11625.851851851852,
2014-03-01,11644.555555555555,
2014-04-01,11755.25925925926,
2014-05-01,11958.555555555555,
2014-06-01,12020.111111111111,
2014-07-01,12047.62962962963,
2014-08-01,12030.333333333334,
2014-09-01,11941.37037037037,
2014-10-01,11913.222222222223,
2014-11-01,11879.925925925925,
2014-12-01,11953.74074074074,
2015-01-01,12008.518518518518,
2015-02-01,12062.444444444445,
2015-03-01,12101.703703703704,
2015-04-01,12310.961538461539,
2015-05-01,12314.846153846154,
2015-06-01,12347.26923076923,
2015-07-01,12481.25925925926,
2015-08-01,12567.962962962964,
2015-09-01,12656.074074074075,
2015-10-01,12710.296296296296,
2015-11-01,12759.37037037037,
2015-12-01,12990.888888888889,
2016-01-01,13236.962962962964,
2016-02-01,13286.62962962963,
2016-03-01,13285.964285714286,
2016-04-01,13558.074074074075,
2016-05-01,13858.851851851852,
2016-06-01,14272.851851851852,
2016-07-01,15057.296296296296,
2016-08-01,14840.814814814816,
2016-09-01,14800.518518518518,
2016-10-01,14872.592592592593,
2016-11-01,14873.148148148148,
2016-12-01,14915.111111111111,
2017-01-01,15086.962962962964,
2017-02-01,15167.346153846154,
2017-03-01,15244.307692307691,
2017-04-01,15394.807692307691,
2017-05-01,15440.461538461539,
2017-06-01,15481.5,
2017-07-01,15515.5,
2017-08-01,15627.538461538461,
2017-09-01,15571.192307692309,
2017-10-01,15522.153846153846,
2017-11-01,15562.846153846154,
2017-12-01,15700.346153846154,
2018-01-01,15686.884615384615,
2018-02-01,15683.0,
2018-03-01,15613.12,
2018-04-01,15623.8,
2018-05-01,15644.84,
2018-06-01,15793.36,
2018-07-01,15723.76,
2018-08-01,15685.92,
2018-09-01,15672.64,
2018-10-01,15629.96,
2018-11-01,15601.4,
2018-12-01,15717.708333333334,
2019-01-01,15812.291666666666,
2019-02-01,15836.416666666666,
2019-03-01,15766.72,
2019-04-01,15921.24,
2019-05-01,16090.72,
2019-06-01,16215.04,
2019-07-01,16377.76,
2019-08-01,16322.04,
2019-09-01,16344.52,
2019-10-01,16328.44,
2019-11-01,16296.16,
2019-12-01,16363.8,
2020-01-01,16506.32,
2020-02-01,16414.36,
2020-03-01,16495.6,
2020-04-01,16826.44,
2020-05-01,16811.96,
2020-06-01,16895.96,
2020-07-01,16858.44,
2020-08-01,16920.48,
2020-09-01,16978.24,
2020-10-01,17092.36,
2020-11-01,17205.76,
2020-12-01,17429.84,
2021-01-01,17515.4,
2021-02-01,17604.96,
2021-03-01,17984.12,
2021-04-01,18958.28,
2021-05-01,20859.217391304348,
2021-06-01,20898.4,
2021-07-01,20846.96,
2021-08-01,20956.2,
2021-09-01,21429.72,
2021-10-01,21795.16,
2021-11-01,22477.69230769231,
2021-12-01,22878.96,
2022-01-01,23484.28,
2022-02-01,23861.84,
2022-03-01,24365.4,
2022-04-01,24902.32,
2022-05-01,25978.04,
2022-06-01,26589.64,
2022-07-01,26939.32,
2022-08-01,26791.56,
2022-09-01,26465.8,
2022-10-01,26703.36,
2022-11-01,26783.48,
2022-12-01,27092.6,
2023-01-01,27387.88,
2023-02-01,27315.84,
2023-03-01,27443.72,
2023-04-01,27756.24,
2023-05-01,27882.92,
2023-06-01,27784.0,
2023-07-01,27793.64,
2023-08-01,27720.44,
2023-09-01,27722.84,
2023-10-01,27620.846153846152,
2023-11-01,27539.653846153848,
2023-12-01,27677.423076923078,
2024-01-01,27612.115384615383,
2024-02-01,27481.96153846154,
2024-03-01,27574.115384615383,
2024-04-01,27765.0,
2024-05-01,27857.03846153846,
2024-06-01,27842.23076923077,
2024-07-01,27869.76923076923,
2024-08-01,27879.653846153848,
2024-09-01,27980.46153846154,
2024-10-31,,27727.484
2024-11-30,,27704.229
2024-12-31,,27659.705
2025-01-31,,27669.197
2025-02-28,,27601.014
2025-03-31,,27639.13
2025-04-30,,27575.93
2025-05-31,,27615.686
2025-06-30,,27576.762
2025-07-31,,27615.693
2025-08-31,,27563.268
2025-09-30,,27591.08
