,guanábana,0
2013-01-01,2696.8,
2013-02-01,2518.56,
2013-03-01,2339.08,
2013-04-01,2393.4,
2013-05-01,2348.76,
2013-06-01,2225.08,
2013-07-01,2321.32,
2013-08-01,2713.8076923076924,
2013-09-01,2650.346153846154,
2013-10-01,2703.846153846154,
2013-11-01,2670.269230769231,
2013-12-01,2413.423076923077,
2014-01-01,2447.153846153846,
2014-02-01,2692.6923076923076,
2014-03-01,2474.259259259259,
2014-04-01,2513.037037037037,
2014-05-01,2405.8888888888887,
2014-06-01,2347.8888888888887,
2014-07-01,2384.740740740741,
2014-08-01,2611.3703703703704,
2014-09-01,2600.259259259259,
2014-10-01,2754.1481481481483,
2014-11-01,2810.1481481481483,
2014-12-01,2570.222222222222,
2015-01-01,2448.259259259259,
2015-02-01,2433.8518518518517,
2015-03-01,2535.8571428571427,
2015-04-01,2465.925925925926,
2015-05-01,2409.1111111111113,
2015-06-01,2348.0,
2015-07-01,2437.4814814814813,
2015-08-01,2696.259259259259,
2015-09-01,3025.962962962963,
2015-10-01,2847.0,
2015-11-01,2572.777777777778,
2015-12-01,2643.3703703703704,
2016-01-01,2842.740740740741,
2016-02-01,2791.653846153846,
2016-03-01,2581.1481481481483,
2016-04-01,2810.4814814814813,
2016-05-01,2835.814814814815,
2016-06-01,2464.6666666666665,
2016-07-01,2576.4074074074074,
2016-08-01,2743.3333333333335,
2016-09-01,2830.962962962963,
2016-10-01,2989.785714285714,
2016-11-01,2768.964285714286,
2016-12-01,2694.464285714286,
2017-01-01,2571.035714285714,
2017-02-01,2641.0714285714284,
2017-03-01,2561.3214285714284,
2017-04-01,2610.3571428571427,
2017-05-01,2583.296296296296,
2017-06-01,2591.3846153846152,
2017-07-01,2467.1153846153848,
2017-08-01,2586.846153846154,
2017-09-01,2972.6923076923076,
2017-10-01,3128.346153846154,
2017-11-01,2936.3846153846152,
2017-12-01,2675.740740740741,
2018-01-01,2610.8888888888887,
2018-02-01,2645.703703703704,
2018-03-01,2466.6,
2018-04-01,2481.925925925926,
2018-05-01,2296.4814814814813,
2018-06-01,2317.9285714285716,
2018-07-01,2283.074074074074,
2018-08-01,2380.740740740741,
2018-09-01,2578.0,
2018-10-01,2728.153846153846,
2018-11-01,2755.6923076923076,
2018-12-01,2700.269230769231,
2019-01-01,2608.153846153846,
2019-02-01,2491.423076923077,
2019-03-01,2526.769230769231,
2019-04-01,2480.0384615384614,
2019-05-01,2370.6923076923076,
2019-06-01,2261.56,
2019-07-01,2371.16,
2019-08-01,2771.96,
2019-09-01,3162.08,
2019-10-01,2710.846153846154,
2019-11-01,2827.8888888888887,
2019-12-01,2886.846153846154,
2020-01-01,2689.5185185185187,
2020-02-01,2596.535714285714,
2020-03-01,2827.5,
2020-04-01,2473.5384615384614,
2020-05-01,2424.535714285714,
2020-06-01,2281.25,
2020-07-01,2160.269230769231,
2020-08-01,2510.086956521739,
2020-09-01,2756.75,
2020-10-01,2721.24,
2020-11-01,2482.16,
2020-12-01,2501.1481481481483,
2021-01-01,2573.3076923076924,
2021-02-01,2742.2916666666665,
2021-03-01,2576.84,
2021-04-01,2573.36,
2021-05-01,2669.8571428571427,
2021-06-01,2514.2608695652175,
2021-07-01,2595.92,
2021-08-01,2751.0434782608695,
2021-09-01,3172.2,
2021-10-01,3888.2380952380954,
2021-11-01,3893.391304347826,
2021-12-01,3720.217391304348,
2022-01-01,3654.391304347826,
2022-02-01,3884.086956521739,
2022-03-01,3898.5652173913045,
2022-04-01,3680.1739130434785,
2022-05-01,3496.478260869565,
2022-06-01,3608.782608695652,
2022-07-01,3638.913043478261,
2022-08-01,3887.5652173913045,
2022-09-01,4416.0,
2022-10-01,4606.347826086957,
2022-11-01,4605.25,
2022-12-01,4828.333333333333,
2023-01-01,4819.608695652174,
2023-02-01,4889.666666666667,
2023-03-01,4806.333333333333,
2023-04-01,4552.565217391304,
2023-05-01,4442.652173913043,
2023-06-01,4250.869565217391,
2023-07-01,4363.260869565217,
2023-08-01,4217.695652173913,
2023-09-01,4509.913043478261,
2023-10-01,4857.818181818182,
2023-11-01,4683.181818181818,
2023-12-01,4656.454545454545,
2024-01-01,4574.863636363636,
2024-02-01,4501.0,
2024-03-01,4493.608695652174,
2024-04-01,4444.304347826087,
2024-05-01,4092.478260869565,
2024-06-01,3692.3478260869565,
2024-07-01,3862.9565217391305,
2024-08-01,4146.608695652174,
2024-09-01,5066.869565217391,
2024-10-31,,4322.3984
2024-11-30,,4774.907
2024-12-31,,4437.4443
2025-01-31,,4705.379
2025-02-28,,4467.4917
2025-03-31,,4693.449
2025-04-30,,4546.89
2025-05-31,,4734.3535
2025-06-30,,4535.2583
2025-07-31,,4718.728
2025-08-31,,4541.2314
2025-09-30,,4733.598
