,mojarra lora entera fresca,0
2013-01-01,4807.666666666667,
2013-02-01,4821.333333333333,
2013-03-01,5585.333333333333,
2013-04-01,5686.833333333333,
2013-05-01,5764.0,
2013-06-01,5899.333333333333,
2013-07-01,6196.333333333333,
2013-08-01,5786.5,
2013-09-01,6015.333333333333,
2013-10-01,5925.0,
2013-11-01,5768.0,
2013-12-01,5750.285714285715,
2014-01-01,5454.666666666667,
2014-02-01,4918.166666666667,
2014-03-01,5305.666666666667,
2014-04-01,5693.333333333333,
2014-05-01,5638.333333333333,
2014-06-01,6001.5,
2014-07-01,5986.0,
2014-08-01,6026.5,
2014-09-01,6249.333333333333,
2014-10-01,6516.833333333333,
2014-11-01,6696.166666666667,
2014-12-01,6569.5,
2015-01-01,6194.666666666667,
2015-02-01,6363.5,
2015-03-01,7025.666666666667,
2015-04-01,6980.0,
2015-05-01,6688.666666666667,
2015-06-01,7203.166666666667,
2015-07-01,6767.6,
2015-08-01,6780.4,
2015-09-01,7265.0,
2015-10-01,7486.4,
2015-11-01,7655.2,
2015-12-01,7919.0,
2016-01-01,7782.6,
2016-02-01,8173.8,
2016-03-01,9267.6,
2016-04-01,8535.833333333334,
2016-05-01,8395.166666666666,
2016-06-01,8495.5,
2016-07-01,8205.4,
2016-08-01,8017.4,
2016-09-01,7685.8,
2016-10-01,7430.6,
2016-11-01,7459.8,
2016-12-01,7472.5,
2017-01-01,7322.0,
2017-02-01,7476.0,
2017-03-01,7101.6,
2017-04-01,7589.2,
2017-05-01,7429.6,
2017-06-01,7425.6,
2017-07-01,7353.8,
2017-08-01,7284.0,
2017-09-01,7140.0,
2017-10-01,7050.4,
2017-11-01,6913.2,
2017-12-01,7021.6,
2018-01-01,7274.666666666667,
2018-02-01,7168.166666666667,
2018-03-01,6981.666666666667,
2018-04-01,7080.666666666667,
2018-05-01,7252.166666666667,
2018-06-01,7185.0,
2018-07-01,7612.0,
2018-08-01,6904.6,
2018-09-01,6729.8,
2018-10-01,6907.833333333333,
2018-11-01,7118.666666666667,
2018-12-01,6885.666666666667,
2019-01-01,7297.666666666667,
2019-02-01,7065.0,
2019-03-01,7432.6,
2019-04-01,8052.4,
2019-05-01,7920.4,
2019-06-01,7810.0,
2019-07-01,8007.8,
2019-08-01,7960.8,
2019-09-01,7843.4,
2019-10-01,7822.2,
2019-11-01,7950.0,
2019-12-01,7446.6,
2020-01-01,7537.2,
2020-02-01,7236.4,
2020-03-01,7425.6,
2020-04-01,7464.2,
2020-05-01,7443.0,
2020-06-01,7511.6,
2020-07-01,7504.4,
2020-08-01,7916.0,
2020-09-01,8031.75,
2020-10-01,8191.75,
2020-11-01,8137.25,
2020-12-01,8114.5,
2021-01-01,8285.25,
2021-02-01,7809.0,
2021-03-01,8173.75,
2021-04-01,8538.75,
2021-05-01,8436.75,
2021-06-01,8689.25,
2021-07-01,8716.25,
2021-08-01,9228.0,
2021-09-01,9351.25,
2021-10-01,9007.25,
2021-11-01,8911.25,
2021-12-01,8796.75,
2022-01-01,8729.75,
2022-02-01,8520.5,
2022-03-01,8995.5,
2022-04-01,9456.5,
2022-05-01,9486.5,
2022-06-01,9315.25,
2022-07-01,9411.25,
2022-08-01,9911.75,
2022-09-01,10300.0,
2022-10-01,10304.75,
2022-11-01,10237.5,
2022-12-01,10281.25,
2023-01-01,9791.75,
2023-02-01,9155.25,
2023-03-01,8959.0,
2023-04-01,10015.6,
2023-05-01,9718.4,
2023-06-01,9526.8,
2023-07-01,9943.2,
2023-08-01,10492.2,
2023-09-01,10794.8,
2023-10-01,10973.0,
2023-11-01,11340.0,
2023-12-01,11650.0,
2024-01-01,11308.2,
2024-02-01,11347.6,
2024-03-01,11974.2,
2024-04-01,12160.0,
2024-05-01,11743.8,
2024-06-01,12752.2,
2024-07-01,13078.2,
2024-08-01,12966.8,
2024-09-01,13097.6,
2024-10-31,,12887.335
2024-11-30,,12885.566
2024-12-31,,12843.7705
2025-01-31,,12742.557
2025-02-28,,12799.759
2025-03-31,,12697.447
2025-04-30,,12718.96
2025-05-31,,12734.565
2025-06-30,,12670.054
2025-07-31,,12693.83
2025-08-31,,12687.152
2025-09-30,,12638.978
