,mora de castilla,0
2013-01-01,2119.153846153846,
2013-02-01,2129.230769230769,
2013-03-01,1984.2307692307693,
2013-04-01,2827.7948717948716,
2013-05-01,2550.2051282051284,
2013-06-01,1805.3333333333333,
2013-07-01,2175.9736842105262,
2013-08-01,2018.3333333333333,
2013-09-01,1802.325,
2013-10-01,2090.075,
2013-11-01,2139.4,
2013-12-01,1928.6,
2014-01-01,2191.525,
2014-02-01,2307.7804878048782,
2014-03-01,2267.487804878049,
2014-04-01,2378.048780487805,
2014-05-01,2563.731707317073,
2014-06-01,1976.2682926829268,
2014-07-01,2280.048780487805,
2014-08-01,2110.6341463414633,
2014-09-01,2022.6829268292684,
2014-10-01,2549.512195121951,
2014-11-01,2520.675,
2014-12-01,2227.9268292682927,
2015-01-01,2119.625,
2015-02-01,1982.9,
2015-03-01,2165.243902439024,
2015-04-01,3017.5853658536585,
2015-05-01,2659.6585365853657,
2015-06-01,2010.5121951219512,
2015-07-01,1984.2682926829268,
2015-08-01,2134.9756097560976,
2015-09-01,2435.048780487805,
2015-10-01,2753.2195121951218,
2015-11-01,2738.878048780488,
2015-12-01,2943.048780487805,
2016-01-01,3243.8048780487807,
2016-02-01,2747.125,
2016-03-01,3706.512195121951,
2016-04-01,4791.682926829269,
2016-05-01,4173.09756097561,
2016-06-01,2986.9268292682927,
2016-07-01,2615.6585365853657,
2016-08-01,2246.5365853658536,
2016-09-01,2114.0243902439024,
2016-10-01,2119.6190476190477,
2016-11-01,2253.232558139535,
2016-12-01,2253.8837209302324,
2017-01-01,2355.0,
2017-02-01,2634.8809523809523,
2017-03-01,2860.8809523809523,
2017-04-01,2566.8809523809523,
2017-05-01,2762.6666666666665,
2017-06-01,2513.7073170731705,
2017-07-01,2454.6341463414633,
2017-08-01,2461.9024390243903,
2017-09-01,2313.1951219512193,
2017-10-01,2146.0975609756097,
2017-11-01,2299.15,
2017-12-01,2206.125,
2018-01-01,2579.121951219512,
2018-02-01,2702.1463414634145,
2018-03-01,3020.9756097560976,
2018-04-01,2927.8048780487807,
2018-05-01,2651.487804878049,
2018-06-01,2933.0731707317073,
2018-07-01,2782.390243902439,
2018-08-01,2512.2926829268295,
2018-09-01,2248.878048780488,
2018-10-01,2337.731707317073,
2018-11-01,2379.3658536585367,
2018-12-01,2566.560975609756,
2019-01-01,2775.048780487805,
2019-02-01,2595.5853658536585,
2019-03-01,2803.439024390244,
2019-04-01,3404.1463414634145,
2019-05-01,3054.3658536585367,
2019-06-01,2884.487804878049,
2019-07-01,2676.5365853658536,
2019-08-01,2657.45,
2019-09-01,2561.8536585365855,
2019-10-01,2554.5,
2019-11-01,2776.1794871794873,
2019-12-01,3122.8205128205127,
2020-01-01,2953.5641025641025,
2020-02-01,2705.7948717948716,
2020-03-01,3292.153846153846,
2020-04-01,3306.5526315789475,
2020-05-01,3306.675675675676,
2020-06-01,3013.864864864865,
2020-07-01,2385.684210526316,
2020-08-01,2538.657894736842,
2020-09-01,2538.891891891892,
2020-10-01,2352.2105263157896,
2020-11-01,2401.315789473684,
2020-12-01,2243.7027027027025,
2021-01-01,2625.2162162162163,
2021-02-01,2981.864864864865,
2021-03-01,3078.3513513513512,
2021-04-01,2747.5555555555557,
2021-05-01,3519.9411764705883,
2021-06-01,2811.8888888888887,
2021-07-01,2773.277777777778,
2021-08-01,3474.472222222222,
2021-09-01,3297.5,
2021-10-01,3382.25,
2021-11-01,3374.6944444444443,
2021-12-01,3350.3611111111113,
2022-01-01,3847.3611111111113,
2022-02-01,4461.583333333333,
2022-03-01,4782.805555555556,
2022-04-01,4414.5,
2022-05-01,5037.444444444444,
2022-06-01,4851.416666666667,
2022-07-01,4475.194444444444,
2022-08-01,4247.444444444444,
2022-09-01,4122.111111111111,
2022-10-01,3525.3333333333335,
2022-11-01,3067.8888888888887,
2022-12-01,3322.1111111111113,
2023-01-01,3865.5,
2023-02-01,4546.277777777777,
2023-03-01,5040.666666666667,
2023-04-01,4292.805555555556,
2023-05-01,4298.555555555556,
2023-06-01,4300.055555555556,
2023-07-01,3875.0555555555557,
2023-08-01,4003.472222222222,
2023-09-01,4291.694444444444,
2023-10-01,4322.361111111111,
2023-11-01,4553.444444444444,
2023-12-01,4782.444444444444,
2024-01-01,4949.611111111111,
2024-02-01,4869.277777777777,
2024-03-01,5754.555555555556,
2024-04-01,6761.694444444444,
2024-05-01,6884.583333333333,
2024-06-01,5328.583333333333,
2024-07-01,4958.305555555556,
2024-08-01,4188.583333333333,
2024-09-01,3339.6388888888887,
2024-10-31,,4378.3623
2024-11-30,,4601.549
2024-12-31,,4553.869
2025-01-31,,5224.132
2025-02-28,,5274.4546
2025-03-31,,5212.236
2025-04-30,,5561.313
2025-05-31,,5663.6357
2025-06-30,,5483.297
2025-07-31,,5435.6436
2025-08-31,,5158.699
2025-09-30,,4875.1133
