,pollo entero fresco sin vísceras,0
2013-01-01,5250.153846153846,
2013-02-01,5211.846153846154,
2013-03-01,5170.153846153846,
2013-04-01,5138.692307692308,
2013-05-01,5224.307692307692,
2013-06-01,5308.2307692307695,
2013-07-01,5297.615384615385,
2013-08-01,5274.0,
2013-09-01,5181.615384615385,
2013-10-01,5114.923076923077,
2013-11-01,5089.615384615385,
2013-12-01,5166.153846153846,
2014-01-01,5147.692307692308,
2014-02-01,5111.076923076923,
2014-03-01,5103.0,
2014-04-01,5156.076923076923,
2014-05-01,5151.153846153846,
2014-06-01,5189.153846153846,
2014-07-01,5346.307692307692,
2014-08-01,5435.7692307692305,
2014-09-01,5337.076923076923,
2014-10-01,5345.285714285715,
2014-11-01,5334.5,
2014-12-01,5398.285714285715,
2015-01-01,5393.785714285715,
2015-02-01,5358.142857142857,
2015-03-01,5376.285714285715,
2015-04-01,5331.928571428572,
2015-05-01,5313.8,
2015-06-01,5347.6,
2015-07-01,5438.2,
2015-08-01,5677.0,
2015-09-01,5787.066666666667,
2015-10-01,5831.133333333333,
2015-11-01,5973.733333333334,
2015-12-01,6087.466666666666,
2016-01-01,6193.6,
2016-02-01,6096.8,
2016-03-01,5998.133333333333,
2016-04-01,5978.666666666667,
2016-05-01,6030.666666666667,
2016-06-01,6043.533333333334,
2016-07-01,6329.142857142857,
2016-08-01,6449.5,
2016-09-01,6377.285714285715,
2016-10-01,6401.0,
2016-11-01,6398.375,
2016-12-01,6371.9375,
2017-01-01,6243.8,
2017-02-01,6061.9375,
2017-03-01,6054.125,
2017-04-01,6073.666666666667,
2017-05-01,6179.125,
2017-06-01,6041.8,
2017-07-01,6073.133333333333,
2017-08-01,6108.933333333333,
2017-09-01,6202.533333333334,
2017-10-01,6202.933333333333,
2017-11-01,6155.4,
2017-12-01,6205.133333333333,
2018-01-01,6287.2,
2018-02-01,6318.8,
2018-03-01,6307.642857142857,
2018-04-01,6232.428571428572,
2018-05-01,6110.5,
2018-06-01,6196.285714285715,
2018-07-01,6115.928571428572,
2018-08-01,6060.928571428572,
2018-09-01,6033.0,
2018-10-01,6002.142857142857,
2018-11-01,6051.571428571428,
2018-12-01,6158.5,
2019-01-01,6197.785714285715,
2019-02-01,6219.642857142857,
2019-03-01,6233.714285714285,
2019-04-01,6217.071428571428,
2019-05-01,6230.428571428572,
2019-06-01,6125.857142857143,
2019-07-01,6177.214285714285,
2019-08-01,6207.571428571428,
2019-09-01,6239.307692307692,
2019-10-01,6242.0,
2019-11-01,6352.538461538462,
2019-12-01,6383.923076923077,
2020-01-01,6347.307692307692,
2020-02-01,6335.076923076923,
2020-03-01,6338.692307692308,
2020-04-01,6066.307692307692,
2020-05-01,6013.538461538462,
2020-06-01,6727.076923076923,
2020-07-01,7231.2307692307695,
2020-08-01,7223.692307692308,
2020-09-01,6937.615384615385,
2020-10-01,6705.692307692308,
2020-11-01,6677.923076923077,
2020-12-01,6980.384615384615,
2021-01-01,7199.538461538462,
2021-02-01,7263.461538461538,
2021-03-01,7455.923076923077,
2021-04-01,7666.153846153846,
2021-05-01,8484.461538461539,
2021-06-01,9144.0,
2021-07-01,9035.307692307691,
2021-08-01,9321.923076923076,
2021-09-01,9265.307692307691,
2021-10-01,9124.76923076923,
2021-11-01,9043.076923076924,
2021-12-01,9141.285714285714,
2022-01-01,9300.461538461539,
2022-02-01,9149.846153846154,
2022-03-01,9354.23076923077,
2022-04-01,9520.076923076924,
2022-05-01,9655.23076923077,
2022-06-01,10064.692307692309,
2022-07-01,10469.692307692309,
2022-08-01,10477.923076923076,
2022-09-01,10715.923076923076,
2022-10-01,10801.846153846154,
2022-11-01,10722.846153846154,
2022-12-01,10714.538461538461,
2023-01-01,11025.923076923076,
2023-02-01,10948.153846153846,
2023-03-01,10842.307692307691,
2023-04-01,10786.923076923076,
2023-05-01,11207.0,
2023-06-01,11578.76923076923,
2023-07-01,11708.461538461539,
2023-08-01,11805.384615384615,
2023-09-01,11672.166666666666,
2023-10-01,11301.307692307691,
2023-11-01,11303.307692307691,
2023-12-01,11555.0,
2024-01-01,11857.384615384615,
2024-02-01,11679.0,
2024-03-01,11501.0,
2024-04-01,11631.692307692309,
2024-05-01,11416.538461538461,
2024-06-01,11396.923076923076,
2024-07-01,11371.615384615385,
2024-08-01,11687.0,
2024-09-01,11788.846153846154,
2024-10-31,,11527.161
2024-11-30,,11268.652
2024-12-31,,11041.673
2025-01-31,,10874.2705
2025-02-28,,10616.485
2025-03-31,,10331.153
2025-04-30,,10105.693
2025-05-31,,9879.577
2025-06-30,,9692.5205
2025-07-31,,9538.223
2025-08-31,,9460.1
2025-09-30,,9363.053
