,queso campesino,0
2013-01-01,8271.333333333334,
2013-02-01,8238.0,
2013-03-01,8277.5,
2013-04-01,8197.0,
2013-05-01,8005.375,
2013-06-01,7780.4375,
2013-07-01,7656.75,
2013-08-01,7873.1875,
2013-09-01,7957.625,
2013-10-01,7982.176470588235,
2013-11-01,8131.444444444444,
2013-12-01,8203.722222222223,
2014-01-01,8251.388888888889,
2014-02-01,8301.0,
2014-03-01,8415.555555555555,
2014-04-01,8697.166666666666,
2014-05-01,8465.055555555555,
2014-06-01,8207.222222222223,
2014-07-01,8188.722222222223,
2014-08-01,8228.333333333334,
2014-09-01,8195.777777777777,
2014-10-01,8237.222222222223,
2014-11-01,8257.611111111111,
2014-12-01,8372.666666666666,
2015-01-01,8277.055555555555,
2015-02-01,8292.777777777777,
2015-03-01,8340.277777777777,
2015-04-01,8413.777777777777,
2015-05-01,8281.777777777777,
2015-06-01,8096.941176470588,
2015-07-01,8151.555555555556,
2015-08-01,8181.444444444444,
2015-09-01,8296.222222222223,
2015-10-01,8416.611111111111,
2015-11-01,8497.111111111111,
2015-12-01,8650.833333333334,
2016-01-01,8891.333333333334,
2016-02-01,8957.166666666666,
2016-03-01,9222.111111111111,
2016-04-01,9670.277777777777,
2016-05-01,9425.777777777777,
2016-06-01,9191.5,
2016-07-01,9203.222222222223,
2016-08-01,9092.78947368421,
2016-09-01,9083.0,
2016-10-01,9107.578947368422,
2016-11-01,9157.105263157895,
2016-12-01,9279.894736842105,
2017-01-01,9461.666666666666,
2017-02-01,9426.526315789473,
2017-03-01,9443.21052631579,
2017-04-01,9412.631578947368,
2017-05-01,9310.0,
2017-06-01,9171.473684210527,
2017-07-01,9159.631578947368,
2017-08-01,9296.736842105263,
2017-09-01,9319.631578947368,
2017-10-01,9295.157894736842,
2017-11-01,9291.894736842105,
2017-12-01,9380.65,
2018-01-01,9397.8,
2018-02-01,9442.15,
2018-03-01,9543.0,
2018-04-01,9620.55,
2018-05-01,9424.85,
2018-06-01,9315.6,
2018-07-01,9286.1,
2018-08-01,9299.5,
2018-09-01,9288.8,
2018-10-01,9404.25,
2018-11-01,9523.4,
2018-12-01,9719.5,
2019-01-01,9938.85,
2019-02-01,10002.631578947368,
2019-03-01,10091.894736842105,
2019-04-01,10287.631578947368,
2019-05-01,10298.684210526315,
2019-06-01,10148.894736842105,
2019-07-01,10142.157894736842,
2019-08-01,10055.736842105263,
2019-09-01,10032.263157894737,
2019-10-01,10089.157894736842,
2019-11-01,10259.21052631579,
2019-12-01,10435.631578947368,
2020-01-01,10530.473684210527,
2020-02-01,10326.894736842105,
2020-03-01,10580.947368421053,
2020-04-01,10650.631578947368,
2020-05-01,10555.578947368422,
2020-06-01,10426.684210526315,
2020-07-01,10399.684210526315,
2020-08-01,10367.21052631579,
2020-09-01,10381.368421052632,
2020-10-01,10473.947368421053,
2020-11-01,10441.421052631578,
2020-12-01,10766.0,
2021-01-01,10996.684210526315,
2021-02-01,10943.315789473685,
2021-03-01,10950.0,
2021-04-01,10868.0,
2021-05-01,11061.736842105263,
2021-06-01,11126.526315789473,
2021-07-01,11004.421052631578,
2021-08-01,11348.526315789473,
2021-09-01,11893.631578947368,
2021-10-01,12538.052631578947,
2021-11-01,12916.526315789473,
2021-12-01,13348.263157894737,
2022-01-01,13836.21052631579,
2022-02-01,13898.947368421053,
2022-03-01,14142.736842105263,
2022-04-01,14727.421052631578,
2022-05-01,14560.947368421053,
2022-06-01,14725.0,
2022-07-01,14842.157894736842,
2022-08-01,15419.684210526315,
2022-09-01,15753.421052631578,
2022-10-01,16039.842105263158,
2022-11-01,17088.684210526317,
2022-12-01,17636.0,
2023-01-01,18212.63157894737,
2023-02-01,18179.842105263157,
2023-03-01,17941.21052631579,
2023-04-01,18066.57894736842,
2023-05-01,17967.526315789473,
2023-06-01,17523.78947368421,
2023-07-01,17475.263157894737,
2023-08-01,17550.57894736842,
2023-09-01,17615.666666666668,
2023-10-01,17890.684210526317,
2023-11-01,18201.315789473683,
2023-12-01,18500.736842105263,
2024-01-01,18665.736842105263,
2024-02-01,18516.947368421053,
2024-03-01,18216.315789473683,
2024-04-01,18397.36842105263,
2024-05-01,18422.105263157893,
2024-06-01,18287.052631578947,
2024-07-01,18120.78947368421,
2024-08-01,18100.63157894737,
2024-09-01,18053.157894736843,
2024-10-31,,18097.38
2024-11-30,,18194.45
2024-12-31,,18388.82
2025-01-31,,18594.588
2025-02-28,,18787.184
2025-03-31,,19014.787
2025-04-30,,19309.602
2025-05-31,,19566.97
2025-06-30,,19765.973
2025-07-31,,19951.982
2025-08-31,,20171.934
2025-09-30,,20348.322
